street,city,state,country,display_name,lat,lon,zoom,year,month,day
,Pittsburg,KS,,"Pittsburg, KS",37.41108407,-94.70510888,13,,,
,Kansas City,MO,,"Kansas City, MO",39.04283639,-94.58979573,15,,,
